baths,beds,city,area,lotSize,price,sqFt,stories,yearBuilt,zipcode
2,3,Gulfport,Pebble Creek,,79000,1262,1,2009,39503
2,3,Gulfport,Swan Lake Estates,12196,235000,2014,1,2008,39503
2.5,3,Gulfport,Countrywood,51400,265000,2679,1,1988,39503
3,3,Gulfport,Metes And Bounds,82764,225000,2065,,1938,39503
2,3,Gulfport,Hidden Oaks,,139900,1310,1,2010,39503
2,3,Gulfport,Hidden Oaks,,155000,1429,1,2013,39503
2,3,Gulfport,Hidden Oaks,,137400,1101,1,2009,39503
3.5,4,Gulfport,Florence Gardens,,519000,3000,2,2014,39503
2,3,Gulfport,Fairfield,,120000,1180,1,2010,39503
5.5,5,Gulfport,Waterside,87120,2250000,5987,1,2014,39503
2,4,Gulfport,Magnolia Springs,,225000,1920,1,2017,39503
2,4,Gulfport,Grand Oaks Estates,21344,259390,2204,1,2021,39503
2,4,Gulfport,Metes And Bounds,335412,299900,3297,2,1980,39503
2.5,4,Gulfport,Roundhill,,193900,1898,2,2017,39503
2,3,Gulfport,Hidden Oaks,14810,139900,1243,1,2020,39503
2,3,Gulfport,Florence Gardens,,263900,1607,1,2019,39503
2,3,Gulfport,Bayou View,,166500,1502,,2020,39507
2,4,Gulfport,Gulf Haven,,204900,1935,1,2019,39503
2.5,3,Gulfport,Metes And Bounds,43560,315000,2611,1.5,1985,39503
2,3,Gulfport,Metes And Bounds,117612,130000,1125,1,1974,39503
2,3,Gulfport,Gaston Point Beach,,349000,1510,1,2020,39501
2,3,Gulfport,Hidden Oaks,8712,139900,1243,1,2020,39503
2,3,Gulfport,Hidden Oaks,7405,139900,1243,1,2020,39503
2,3,Gulfport,Hidden Oaks,6969,139900,1243,1,2020,39503
2,3,Gulfport,Tracewood,,137000,1554,,2020,39503
2,3,Gulfport,Florence Gardens,,279900,1701,1,2020,39503
3.5,4,Gulfport,Metes And Bounds,217800,609900,3782,1,1975,39503
2,3,Gulfport,Gulf Haven,,184900,1716,1,2019,39503
2,3,Gulfport,Hidden Oaks,,164900,1485,1,2020,39503
2,3,Gulfport,Tracewood,,140000,1554,1,2020,39503
2,3,Gulfport,Tanner Place,,255000,1732,1,2020,39507
2,3,Gulfport,Landon Green,,324999,1950,1,2019,39503
2.5,4,Gulfport,Magnolia Springs,,265000,2353,1,2019,39503
2,4,Gulfport,Magnolia Springs,,205900,1787,1,2020,39503
2,3,Gulfport,Magnolia Springs,,206900,1650,1,2021,39503
2,3,Gulfport,Magnolia Springs,,206900,1650,1,2020,39503
2.5,5,Gulfport,Magnolia Springs,,254900,2697,2,2020,39503
2,4,Gulfport,Magnolia Springs,,243900,2289,1,2021,39503
2,4,Gulfport,Magnolia Springs,,244900,2289,,2021,39503
2,4,Gulfport,Magnolia Springs,,238900,2054,1,2021,39503
2,4,Gulfport,Magnolia Springs,,249900,2054,1,2021,39503
2,4,Gulfport,Magnolia Springs,,238900,2054,,2021,39503
2,4,Gulfport,Magnolia Springs,,236500,2054,1,2020,39503
2,3,Gulfport,Savoy Place,12632,216640,1936,1,2021,39503
2,4,Gulfport,Savoy Place,13068,226840,2204,1,2021,39503
2,4,Gulfport,Belvedere Place,7405,209085,1906,1,2021,39503
2.5,3,Gulfport,Florence Gardens,,349900,2134,1,2020,39503
2,4,Gulfport,Magnolia Springs,,278900,2289,,2021,39507
2,4,Gulfport,Hatten Farms,14810,220390,1961,1,2020,39503
2,4,Gulfport,Cardinal Pointe,,211800,1820,1,2020,39503
2.5,3,Gulfport,Turtle Creek,,161400,1680,2,2020,39503
2,4,Gulfport,Grand Oaks Estates,17424,246950,1885,1,2021,39503
3,4,Gulfport,Canal Crossing,,218100,2200,1,2020,39503
2,3,Gulfport,Grand Oaks Estates,14810,246150,1925,1,2020,39503
2,3,Gulfport,Duckworth Cove,,330000,2110,,2018,39503
3,3,Gulfport,Century Oaks TH PH 3,,147000,1156,2,2007,39507
2,3,Gulfport,North Swan Estates - N. Gulfport,,216700,1540,,2020,39503
